Row_ID,Paper_ID,Authors,Year,Title,ID_FullText,Case countries,Continent,Latitude,Longitude,Food system classification ,"Non-legume main Farm/forest products for 
 which the production is being intensified (NOT all products produced)",Legume,Legume_all,Ecological outcome,Social outcome,Combined ecological-social outcome,Description combined ecological-social outcome,Description combined ecological-social outcome
36,74,"Bitew Y., Alemayehu G., Adgo E., Assefa A.",2020,"Competition, production efficiency and yield stability of finger millet and legume additive design intercropping",37,Ethiopia,Africa,9.019071903,38.75423335,Grain / Common bean,Finger millet,Common Bean,Common Bean,Win,Win,Win-Win,Positive Socio-ecological Outcomes,Positive Socio-ecological Outcomes
31,64,"Belay D., Schulthess F., Omwega C.",2009,The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia,32,Ethiopia,Africa,8.4,39.183333,Grain / Common bean,Maize,Common Bean,Common Bean,Win,Win,Win-Win,Positive Socio-ecological Outcomes,Positive Socio-ecological Outcomes
137,348,"Lopez-Ridaura S., Barba-Escoto L., Reyna-Ramirez C.A., Sum C., Palacios-Rojas N., Gerard B.",2021,"Maize intercropping in the milpa system. Diversity, extent and importance for nutritional security in the Western Highlands of Guatemala",129,Guatemala,South America,15.25,-91.25,Grain / Common bean,Maize,Common Bean,Common Bean,Win,Win,Win-Win,Positive Socio-ecological Outcomes,Positive Socio-ecological Outcomes
35,72,"Bhat R., Hussain S., Wani W.M., Banday F.A., Sharma M.K.",2015,"Effect of intercrops on productivity, quality, leaf nutrient status and relative economic yield of apple cv. Red Delicious",36,India,Asia,34.146606,74.879452,Non-Grain / Common bean,Apple,Common Bean,Common Bean,Win,Win,Win-Win,Positive Socio-ecological Outcomes,Positive Socio-ecological Outcomes
349,742,"Mohan, H.M., Chittapur, B.M., Hiremath, S.M",2013,EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION,327,India,Asia,15.463467,75.045458,Grain / Common bean,Maize,Common Bean,Common Bean,Win,Win,Win-Win,Positive Socio-ecological Outcomes,Positive Socio-ecological Outcomes
343,733,"Shah TM, Tasawwar S, Bhat MA, Otterpohl R. ",2021,"Intercropping in Rice Farming under the System of Rice Intensification-An Agroecological Strategy for Weed Control, Better Yield, Increased Returns, and Social-Ecological Sustainability",318,India (Jammu and Kashmir),Asia,33.608611,75.249722,Grain / Common bean,Rice,Common Bean,Common Bean,Win,Win,Win-Win,Positive Socio-ecological Outcomes,Positive Socio-ecological Outcomes
5,6,"Adamtey N., Musyoka M.W., Zundel C., Cobo J.G., Karanja E., Fiaboe K.K.M., Muriuki A., Mucheru-Muna M., Vanlauwe B., Berset E., Messmer M.M., Gattinger A., Bhullar G.S., Cadisch G., Fliessbach A., Mäder P., Niggli U., Foster D.",2016,"Productivity, profitability and partial nutrient balance in maize-based conventional and organic farming systems in Kenya",6,Kenya,Africa,-0.322807474,37.65418024,Grain / Common bean + Unspecified legume,Maize,Common Bean,Common Bean,Win,Win,Win-Win,Positive Socio-ecological Outcomes,Positive Socio-ecological Outcomes
129,321,"Kutu F.R., Asiwe J.A.N.",2010,Assessment of maize and dry bean productivity under different intercrop systems and fertilization regimes,120,South Africa,Africa,-27.55,24.77,Grain / Common bean,Maize,Common Bean,Common Bean,Win,Win,Win-Win,Positive Socio-ecological Outcomes,Positive Socio-ecological Outcomes
83,214,"Guvenc I., Yildirim E.",2006,Increasing productivity with intercropping systems in cabbage production,82,Turkye,Europe,40.483333,41.016667,Non-Grain / Common bean,Cabbage,Common Bean,Common Bean,Win,Win,Win-Win,Positive Socio-ecological Outcomes,Positive Socio-ecological Outcomes
110,282,"Kermah M., Franke A.C., Adjei-Nsiah S., Ahiabor B.D.K., Abaidoo R.C., Giller K.E.",2017,Maize-grain legume intercropping for enhanced resource use efficiency and crop productivity in the Guinea savanna of northern Ghana,105,Ghana,Africa,9.966667,-0.666667,Grain / Cowpea,Maize,Cowpea,Cowpea,Mix,Mix,Mix-Mix,Mixed Socio-ecological Outcomes,Mixed Socio-ecological Outcomes
142,366,"Manjunath B.L., Paramesh V., Mahajan G.R., Reddy K.V., Das B., Singh N.P.",2018,"A five years study on the selection of rice based cropping systems in Goa, for west coast region of India",135,India,Asia,15.498594,73.916948,Grain / Cowpea,Rice,Cowpea,Cowpea,Mix,Mix,Mix-Mix,Mixed Socio-ecological Outcomes,Mixed Socio-ecological Outcomes
